salet = 8099 (3.5076)
least = 8106 (3.5106)
reast = 8112 (3.5132)
crate = 8121 (3.5171)
trape = 8123 (3.518)
slane = 8126 (3.5193)
prate = 8130 (3.521)
crane = 8133 (3.5223)
carle = 8136 (3.5236)
train = 8136 (3.5236)
teals = 8139 (3.5249)
dealt = 8140 (3.5253)
trice = 8143 (3.5266)
reist = 8144 (3.5271)
trine = 8146 (3.5279)
stale = 8147 (3.5284)
alist = 8148 (3.5288)
clast = 8150 (3.5297)
torse = 8150 (3.5297)
trade = 8150 (3.5297)
trail = 8150 (3.5297)
peart = 8152 (3.5305)
trone = 8154 (3.5314)
slart = 8155 (3.5318)
earst = 8156 (3.5323)
palet = 8157 (3.5327)
tripe = 8157 (3.5327)
lance = 8158 (3.5331)
plate = 8158 (3.5331)
alert = 8159 (3.5336)
carse = 8162 (3.5349)
plane = 8162 (3.5349)
taels = 8165 (3.5362)
clart = 8166 (3.5366)
tales = 8166 (3.5366)
trial = 8166 (3.5366)
plast = 8168 (3.5375)
tarns = 8168 (3.5375)
tears = 8170 (3.5383)
drant = 8171 (3.5388)
artel = 8174 (3.5401)
cleat = 8174 (3.5401)
scale = 8174 (3.5401)
spalt = 8174 (3.5401)
toile = 8174 (3.5401)
leapt = 8175 (3.5405)
roist = 8176 (3.5409)
taler = 8176 (3.5409)
lacet = 8177 (3.5414)
laten = 8177 (3.5414)
prase = 8177 (3.5414)
setal = 8177 (3.5414)
loast = 8178 (3.5418)
roast = 8178 (3.5418)
tails = 8178 (3.5418)
tesla = 8178 (3.5418)
tries = 8178 (3.5418)
taser = 8180 (3.5427)
crost = 8182 (3.5435)
perst = 8183 (3.544)
place = 8183 (3.544)
scart = 8183 (3.544)
tried = 8184 (3.5444)
plait = 8185 (3.5448)
talon = 8185 (3.5448)
trans = 8185 (3.5448)
antre = 8186 (3.5453)
stare = 8186 (3.5453)
parse = 8187 (3.5457)
tires = 8187 (3.5457)
spale = 8188 (3.5461)
triol = 8188 (3.5461)
seral = 8189 (3.5466)
tares = 8189 (3.5466)
toran = 8189 (3.5466)
tride = 8190 (3.547)
alter = 8191 (3.5474)
crone = 8191 (3.5474)
learn = 8191 (3.5474)
liart = 8191 (3.5474)
roate = 8191 (3.5474)
slipt = 8191 (3.5474)
snort = 8191 (3.5474)
alien = 8192 (3.5479)
leans = 8192 (3.5479)
ratel = 8192 (3.5479)
teils = 8192 (3.5479)
teras = 8192 (3.5479)
tared = 8193 (3.5483)
clote = 8194 (3.5487)
tiles = 8194 (3.5487)
orate = 8195 (3.5492)
pleat = 8195 (3.5492)
prest = 8195 (3.5492)
snare = 8195 (3.5492)
tiled = 8195 (3.5492)
liane = 8196 (3.5496)
trope = 8196 (3.5496)
caple = 8197 (3.55)
clapt = 8197 (3.55)
crest = 8197 (3.55)
derat = 8197 (3.55)
irate = 8197 (3.55)
ronte = 8197 (3.55)
slade = 8197 (3.55)
stole = 8197 (3.55)
toles = 8197 (3.55)
aline = 8198 (3.5505)
sitar = 8198 (3.5505)
trons = 8198 (3.5505)
ancle = 8199 (3.5509)
spate = 8199 (3.5509)
crape = 8200 (3.5513)
crise = 8200 (3.5513)
scrat = 8200 (3.5513)
splat = 8200 (3.5513)
taros = 8201 (3.5518)
terns = 8201 (3.5518)
close = 8202 (3.5522)
dearn = 8202 (3.5522)
prost = 8202 (3.5522)
thale = 8202 (3.5522)
clone = 8203 (3.5526)
crits = 8203 (3.5526)
saner = 8203 (3.5526)
table = 8203 (3.5526)
tolar = 8203 (3.5526)
anile = 8204 (3.5531)
heart = 8204 (3.5531)
parle = 8204 (3.5531)
stile = 8204 (3.5531)
strae = 8204 (3.5531)
tarps = 8204 (3.5531)
toner = 8204 (3.5531)
trild = 8204 (3.5531)
clade = 8205 (3.5535)
relit = 8205 (3.5535)
tired = 8205 (3.5535)
scare = 8206 (3.5539)
tread = 8207 (3.5544)
clame = 8208 (3.5548)
later = 8208 (3.5548)
slice = 8208 (3.5548)
tapen = 8208 (3.5548)
toils = 8208 (3.5548)
tores = 8208 (3.5548)
triad = 8208 (3.5548)
clans = 8209 (3.5552)
clean = 8209 (3.5552)
crine = 8209 (3.5552)
lapse = 8209 (3.5552)
piert = 8209 (3.5552)
shalt = 8209 (3.5552)
sprit = 8209 (3.5552)
tenor = 8209 (3.5552)
tepal = 8209 (3.5552)
tiler = 8209 (3.5552)
traps = 8209 (3.5552)
tronc = 8209 (3.5552)
>>> Thu Mar 17 23:58:51 2022 | 0 | salet | 8099
>>> Thu Mar 17 23:58:48 2022 | 1 | roate | 8191
>>> Thu Mar 17 23:58:47 2022 | 2 | oater | pruned
>>> Thu Mar 17 23:59:07 2022 | 3 | realo | pruned
>>> Thu Mar 17 23:58:51 2022 | 4 | ratel | 8192
>>> Thu Mar 17 23:58:54 2022 | 5 | alter | 8191
>>> Thu Mar 17 23:58:54 2022 | 6 | later | 8208
>>> Thu Mar 17 23:58:54 2022 | 7 | taler | 8176
>>> Thu Mar 17 23:59:27 2022 | 8 | alert | 8159
>>> Thu Mar 17 23:58:54 2022 | 9 | artel | 8174
>>> Thu Mar 17 23:58:55 2022 | 10 | aeros | pruned
>>> Thu Mar 17 23:58:54 2022 | 11 | soare | pruned
>>> Thu Mar 17 23:58:54 2022 | 12 | arose | pruned
>>> Thu Mar 17 23:59:14 2022 | 13 | retia | pruned
>>> Fri Mar 18 00:00:27 2022 | 14 | terai | pruned
>>> Thu Mar 17 23:59:37 2022 | 15 | irate | 8197
>>> Thu Mar 17 23:59:11 2022 | 16 | aster | pruned
>>> Thu Mar 17 23:59:07 2022 | 17 | resat | pruned
>>> Thu Mar 17 23:59:40 2022 | 18 | stare | 8186
>>> Thu Mar 17 23:59:31 2022 | 19 | stear | pruned
>>> Thu Mar 17 23:59:35 2022 | 20 | teras | 8192
>>> Thu Mar 17 23:59:40 2022 | 21 | tears | 8170
>>> Thu Mar 17 23:59:42 2022 | 22 | strae | 8204
>>> Thu Mar 17 23:59:36 2022 | 23 | taser | 8180
